Disaster,Location,Severity,People_Affected,Ambulance_Needed,Resources_Needed,Response_Time,Priority
Cyclone,Sialkot,Low,317,1,47,212,Low
Fire,Sialkot,High,9206,23,129,192,High
Heatwave,Rawalpindi,High,7566,16,84,186,High
Earthquake,Peshawar,Critical,35632,76,392,171,Critical
Cyclone,Peshawar,Medium,4829,10,84,212,Medium
Heatwave,Gujranwala,High,5710,13,80,186,High
Landslide,Multan,Critical,30368,65,323,142,Critical
Tsunami,Quetta,Medium,9367,21,120,236,Medium
Fire,Sialkot,Low,4107,12,51,234,Low
Earthquake,Gujranwala,Medium,9106,18,91,231,Medium
Fire,Quetta,Low,4234,13,62,243,Low
Landslide,Faisalabad,Critical,7816,15,93,179,Critical
Earthquake,Sukkur,Medium,9483,21,144,237,Medium
Flood,Multan,Critical,7884,16,92,156,Critical
Landslide,Lahore,Low,2244,9,67,213,Low
Drought,Sialkot,High,17996,36,226,203,High
Drought,Karachi,High,12220,28,163,194,High
Cyclone,Sialkot,Low,4490,8,71,248,Low
Earthquake,Hyderabad,High,1562,4,32,184,High
Cyclone,Faisalabad,High,14662,31,169,180,High
Earthquake,Islamabad,Medium,9051,22,98,213,Medium
Landslide,Quetta,Medium,3680,9,79,231,Medium
Earthquake,Karachi,High,14130,33,187,185,High
Flood,Multan,Medium,1777,8,38,229,Medium
Tsunami,Hyderabad,Low,2077,9,50,250,Low
Drought,Karachi,Medium,4977,11,78,203,Medium
Tsunami,Karachi,Medium,628,4,34,223,Medium
Earthquake,Sukkur,Medium,7468,17,96,235,Medium
Tsunami,Hyderabad,Critical,17620,37,225,166,Critical
Flood,Multan,Low,2905,8,48,233,Low
Drought,Lahore,High,3050,8,61,183,High
Heatwave,Quetta,High,14586,30,180,219,High
Earthquake,Karachi,Critical,8092,19,86,157,Critical
Drought,Peshawar,Medium,3982,9,50,233,Medium
Tsunami,Faisalabad,Low,1769,8,58,212,Low
Heatwave,Sukkur,Low,4866,13,86,214,Low
Fire,Sialkot,High,11688,27,121,199,High
Drought,Faisalabad,Critical,28460,59,301,144,Critical
Fire,Gujranwala,Critical,11276,26,120,153,Critical
Landslide,Multan,Critical,9524,19,129,173,Critical
Heatwave,Sukkur,Critical,13940,27,151,146,Critical
Heatwave,Faisalabad,Low,1745,7,33,216,Low
Drought,Faisalabad,Medium,1072,7,56,214,Medium
Landslide,Faisalabad,High,18880,39,228,214,High
Tsunami,Faisalabad,Low,2923,9,33,234,Low
Cyclone,Hyderabad,Critical,35280,75,398,152,Critical
Earthquake,Peshawar,Critical,18820,41,192,152,Critical
Landslide,Gujranwala,High,19756,43,198,213,High
Heatwave,Islamabad,Medium,8927,19,121,215,Medium
Cyclone,Rawalpindi,Medium,2858,7,68,236,Medium
Heatwave,Islamabad,Medium,5402,15,55,240,Medium
Drought,Peshawar,Critical,19576,39,232,151,Critical
Tsunami,Hyderabad,Low,2420,7,61,245,Low
Flood,Faisalabad,Low,4741,9,72,245,Low
Heatwave,Multan,Medium,4480,10,93,226,Medium
Tsunami,Faisalabad,High,17056,36,207,186,High
Fire,Islamabad,Medium,1660,8,29,240,Medium
Heatwave,Quetta,Medium,2321,6,25,236,Medium
Cyclone,Gujranwala,High,13686,29,171,202,High
Tsunami,Islamabad,Medium,1071,4,26,229,Medium
Landslide,Islamabad,High,9286,23,126,207,High
Tsunami,Karachi,High,4356,13,77,186,High
Landslide,Lahore,Low,1137,7,41,220,Low
Landslide,Gujranwala,High,8380,18,124,191,High
Flood,Karachi,Medium,2496,5,73,235,Medium
Cyclone,Islamabad,High,10754,22,116,205,High
Earthquake,Sukkur,Medium,4155,12,64,232,Medium
Cyclone,Rawalpindi,High,13068,27,155,201,High
Drought,Gujranwala,Low,4059,8,54,220,Low
Heatwave,Faisalabad,Medium,2429,8,73,234,Medium
Cyclone,Islamabad,Medium,9560,22,132,238,Medium
Heatwave,Lahore,Medium,4502,14,91,228,Medium
Heatwave,Islamabad,High,13772,29,155,202,High
Heatwave,Gujranwala,Low,3123,11,39,230,Low
Flood,Faisalabad,Low,3752,8,66,245,Low
Earthquake,Rawalpindi,Low,668,6,38,230,Low
Landslide,Sukkur,Low,812,1,40,233,Low
Cyclone,Sialkot,High,13400,31,139,206,High
Drought,Faisalabad,Medium,8547,20,110,240,Medium
Cyclone,Sialkot,Critical,18632,39,209,167,Critical
Landslide,Islamabad,Low,3073,8,62,230,Low
Tsunami,Rawalpindi,Critical,30196,63,301,178,Critical
Heatwave,Hyderabad,High,16192,35,203,195,High
Tsunami,Faisalabad,High,10924,24,124,216,High
Drought,Hyderabad,Critical,38536,82,424,174,Critical
Tsunami,Rawalpindi,Medium,140,1,44,213,Medium
Tsunami,Faisalabad,Critical,6504,17,75,164,Critical
Heatwave,Multan,High,15222,35,200,215,High
Landslide,Peshawar,Critical,23876,51,270,156,Critical
Landslide,Islamabad,Low,568,2,13,233,Low
Landslide,Faisalabad,Low,4428,10,72,238,Low
Cyclone,Sialkot,Medium,6616,18,76,228,Medium
Earthquake,Karachi,Critical,14672,34,157,165,Critical
Cyclone,Sialkot,Critical,28556,58,321,140,Critical
Tsunami,Rawalpindi,Critical,14280,33,178,142,Critical
Earthquake,Sukkur,Critical,32820,69,370,158,Critical
Fire,Peshawar,Medium,4499,13,53,238,Medium
Cyclone,Sukkur,High,10778,24,154,181,High
Cyclone,Hyderabad,Medium,4746,14,93,233,Medium
Heatwave,Quetta,High,11266,24,142,188,High
Landslide,Faisalabad,High,18134,40,203,199,High
Landslide,Hyderabad,High,19136,40,193,180,High
Earthquake,Sialkot,Critical,8956,18,103,159,Critical
Cyclone,Multan,Medium,9375,23,141,214,Medium
Landslide,Karachi,High,16102,36,192,193,High
Cyclone,Karachi,Low,2865,6,42,230,Low
Tsunami,Sialkot,High,1786,5,21,181,High
Fire,Rawalpindi,Medium,852,1,24,217,Medium
Landslide,Sukkur,Critical,6924,16,92,175,Critical
Flood,Multan,Low,3814,8,52,242,Low
Fire,Lahore,High,732,6,10,215,High
Landslide,Sialkot,Critical,8540,19,127,176,Critical
Flood,Rawalpindi,Medium,2688,10,39,236,Medium
Flood,Sukkur,Medium,7330,18,106,209,Medium
Landslide,Lahore,Low,3789,8,87,216,Low
Fire,Islamabad,Low,55,5,23,212,Low
Heatwave,Sukkur,High,14218,30,166,209,High
Earthquake,Sukkur,Critical,13656,32,166,162,Critical
Flood,Hyderabad,Critical,9044,18,119,149,Critical
Landslide,Quetta,Medium,5045,11,52,208,Medium
Heatwave,Rawalpindi,Medium,2704,7,29,216,Medium
Heatwave,Hyderabad,High,9178,19,132,203,High
Heatwave,Lahore,High,3258,11,52,217,High
Tsunami,Hyderabad,Medium,6005,14,66,215,Medium
Fire,Sialkot,Medium,4202,11,87,214,Medium
Flood,Lahore,Critical,5800,13,91,156,Critical
Landslide,Peshawar,Critical,24768,51,287,159,Critical
Heatwave,Rawalpindi,Critical,11244,24,129,145,Critical
Earthquake,Gujranwala,High,1896,7,65,216,High
Earthquake,Sukkur,Critical,26372,54,279,165,Critical
Drought,Gujranwala,Low,2552,8,62,246,Low
Heatwave,Gujranwala,Low,1968,3,53,223,Low
Earthquake,Lahore,Critical,28528,60,321,144,Critical
Flood,Gujranwala,Critical,6376,12,74,160,Critical
Fire,Gujranwala,Medium,1659,8,40,230,Medium
Fire,Hyderabad,Medium,117,4,42,211,Medium
Landslide,Sialkot,High,7192,18,95,211,High
Earthquake,Quetta,Low,3956,11,62,246,Low
Cyclone,Sialkot,Low,688,1,43,216,Low
Earthquake,Karachi,High,4548,12,86,218,High
Drought,Multan,Critical,39304,79,397,159,Critical
Cyclone,Hyderabad,Critical,15220,34,185,142,Critical
Drought,Karachi,High,17220,34,188,216,High
Heatwave,Rawalpindi,Low,3695,12,60,234,Low
Heatwave,Rawalpindi,Low,126,3,15,215,Low
Landslide,Hyderabad,Critical,928,5,42,143,Critical
Drought,Rawalpindi,Medium,5729,13,82,221,Medium
Landslide,Sialkot,High,4150,11,63,202,High
Flood,Sukkur,High,14038,28,162,207,High
Earthquake,Multan,Critical,9060,19,121,166,Critical
Cyclone,Faisalabad,High,15852,32,208,187,High
Cyclone,Multan,Low,630,2,36,224,Low
Landslide,Quetta,Critical,15404,32,192,178,Critical
Earthquake,Quetta,Low,3188,9,31,210,Low
Fire,Islamabad,Medium,1563,7,47,240,Medium
Cyclone,Karachi,High,3556,10,43,220,High
Fire,Sukkur,High,3580,8,63,204,High
Earthquake,Sialkot,Low,2616,7,36,213,Low
Fire,Sukkur,Critical,24488,53,258,159,Critical
Flood,Quetta,Critical,20008,41,204,173,Critical
Drought,Sukkur,High,4692,9,78,182,High
Heatwave,Sialkot,Low,3185,9,72,230,Low
Heatwave,Quetta,Medium,2281,6,39,234,Medium
Landslide,Karachi,Low,1220,7,25,246,Low
Flood,Gujranwala,Critical,4880,10,57,149,Critical
Cyclone,Rawalpindi,High,17582,37,186,200,High
Landslide,Sialkot,High,18656,42,196,212,High
Landslide,Islamabad,High,476,1,27,194,High
Heatwave,Sialkot,Medium,2788,5,65,209,Medium
Earthquake,Karachi,Medium,7310,17,118,203,Medium
Cyclone,Gujranwala,Critical,23412,48,241,165,Critical
Landslide,Quetta,Low,1795,4,59,238,Low
Cyclone,Sukkur,Low,1290,3,26,248,Low
Drought,Sialkot,Low,3422,10,60,246,Low
Earthquake,Karachi,Medium,7348,15,94,232,Medium
Cyclone,Quetta,High,7318,17,119,185,High
Fire,Rawalpindi,Critical,6080,12,67,154,Critical
Landslide,Lahore,Critical,6984,14,99,167,Critical
Fire,Islamabad,Medium,2393,8,66,218,Medium
Earthquake,Hyderabad,Medium,2117,7,51,225,Medium
Flood,Lahore,High,19518,44,225,189,High
Fire,Quetta,High,12782,28,140,188,High
Landslide,Quetta,Medium,5859,14,95,221,Medium
Landslide,Islamabad,Critical,28540,60,295,145,Critical
Heatwave,Sialkot,High,10504,24,146,210,High
Earthquake,Quetta,High,4780,12,73,216,High
Heatwave,Quetta,Critical,16636,33,167,143,Critical
Landslide,Quetta,High,9274,18,107,215,High
Drought,Karachi,Critical,5920,15,61,165,Critical
Landslide,Sukkur,Low,2082,5,28,226,Low
Heatwave,Lahore,High,18332,41,219,185,High
Heatwave,Sialkot,High,19892,41,235,205,High
Earthquake,Islamabad,Low,4965,9,59,242,Low
Flood,Sialkot,Critical,19072,40,198,167,Critical
Drought,Sukkur,High,1078,6,50,188,High
Tsunami,Islamabad,Low,2521,6,57,218,Low
Landslide,Gujranwala,Critical,13864,27,140,170,Critical
Flood,Rawalpindi,High,17164,39,207,215,High
Earthquake,Multan,Medium,8448,16,93,212,Medium
Cyclone,Islamabad,Low,1595,8,18,241,Low
Flood,Quetta,Critical,26072,57,270,165,Critical
Landslide,Sukkur,Medium,4942,10,65,236,Medium
Flood,Peshawar,Critical,3976,8,50,152,Critical
Fire,Rawalpindi,Medium,4021,13,73,235,Medium
Heatwave,Islamabad,Medium,8208,18,107,239,Medium
Heatwave,Hyderabad,Low,3211,8,70,243,Low
Landslide,Karachi,Low,973,2,45,225,Low
Fire,Multan,Medium,4049,8,80,215,Medium
Drought,Lahore,Low,4142,11,42,214,Low
Heatwave,Islamabad,Critical,39320,82,439,157,Critical
Earthquake,Sialkot,High,2526,9,71,207,High
Heatwave,Islamabad,Critical,35020,72,392,160,Critical
Tsunami,Rawalpindi,Medium,297,1,20,236,Medium
Drought,Faisalabad,Critical,24064,48,245,145,Critical
Tsunami,Faisalabad,Medium,5285,10,65,207,Medium
Tsunami,Peshawar,Critical,9048,20,118,166,Critical
Earthquake,Gujranwala,Critical,25748,53,295,167,Critical
Fire,Rawalpindi,Low,4706,12,77,233,Low
Tsunami,Sukkur,Medium,6995,18,99,222,Medium
Drought,Gujranwala,Medium,6086,16,70,212,Medium
Heatwave,Islamabad,High,18102,40,195,200,High
Landslide,Peshawar,Critical,11720,27,143,162,Critical
Drought,Sialkot,Critical,31268,64,350,178,Critical
Flood,Sukkur,High,2590,8,34,181,High
Heatwave,Multan,Medium,373,5,53,219,Medium
Earthquake,Karachi,Critical,38892,78,425,150,Critical
Tsunami,Gujranwala,High,2412,6,73,202,High
Landslide,Quetta,High,650,4,17,219,High
Tsunami,Lahore,High,8790,19,126,208,High
Earthquake,Karachi,Critical,14536,30,187,179,Critical
Drought,Islamabad,Medium,752,2,39,209,Medium
Flood,Rawalpindi,Medium,1090,5,26,228,Medium
Heatwave,Faisalabad,High,13240,26,142,182,High
Drought,Rawalpindi,High,16800,34,214,194,High
Flood,Quetta,Medium,4793,10,90,212,Medium
Cyclone,Rawalpindi,High,16618,38,187,203,High
Tsunami,Sukkur,High,13812,28,167,189,High
Heatwave,Hyderabad,Medium,7039,15,108,205,Medium
Heatwave,Peshawar,Critical,26760,58,304,147,Critical
Flood,Faisalabad,High,2900,5,33,183,High
Cyclone,Gujranwala,Critical,35564,75,369,155,Critical
Landslide,Sukkur,High,17816,39,202,219,High
Fire,Faisalabad,High,5202,11,76,189,High
Landslide,Rawalpindi,High,9292,18,100,198,High
Heatwave,Quetta,Low,734,3,13,210,Low
Heatwave,Islamabad,Critical,20708,46,208,161,Critical
Earthquake,Hyderabad,Critical,5576,16,67,147,Critical
Flood,Faisalabad,High,16954,33,202,199,High
Cyclone,Karachi,Medium,3429,9,66,228,Medium
Fire,Quetta,High,5290,15,95,210,High
Landslide,Rawalpindi,Low,4444,10,70,211,Low
Flood,Faisalabad,High,10906,25,118,201,High
Drought,Gujranwala,Low,3250,10,70,223,Low
Earthquake,Multan,High,19416,38,200,214,High
Cyclone,Hyderabad,Critical,4732,13,58,153,Critical
Earthquake,Gujranwala,High,10362,20,133,193,High
Heatwave,Karachi,Critical,29068,63,329,174,Critical
Earthquake,Lahore,Medium,4009,8,78,233,Medium
Fire,Hyderabad,Medium,1048,7,12,216,Medium
Heatwave,Gujranwala,High,8210,16,132,215,High
Landslide,Multan,High,3024,6,64,210,High
Landslide,Faisalabad,Medium,7218,19,104,239,Medium
Drought,Sialkot,Low,1000,2,58,219,Low
Heatwave,Gujranwala,Medium,7528,18,82,201,Medium
Heatwave,Quetta,Medium,1001,5,15,224,Medium
Cyclone,Multan,Low,2583,8,55,247,Low
Heatwave,Quetta,Medium,2977,5,71,233,Medium
Fire,Quetta,Medium,2056,8,28,202,Medium
Drought,Lahore,Low,153,2,39,226,Low
Cyclone,Quetta,Low,1174,5,45,220,Low
Fire,Gujranwala,Critical,1140,7,11,143,Critical
Earthquake,Sialkot,High,5568,12,104,198,High
Landslide,Faisalabad,Critical,32932,66,372,152,Critical
Drought,Rawalpindi,Low,2890,10,69,249,Low
Tsunami,Gujranwala,Medium,8668,22,113,217,Medium
Landslide,Sukkur,Low,4287,13,75,213,Low
Flood,Peshawar,Medium,4347,8,69,229,Medium
Landslide,Sukkur,Critical,11340,24,136,140,Critical
Landslide,Gujranwala,Critical,24768,52,249,144,Critical
Heatwave,Sialkot,Critical,8716,22,131,164,Critical
Fire,Peshawar,Medium,4503,9,78,217,Medium
Heatwave,Hyderabad,High,4068,13,67,203,High
Heatwave,Multan,High,1160,6,25,186,High
Tsunami,Gujranwala,High,11176,24,141,181,High
Tsunami,Sukkur,Low,3567,11,85,228,Low
Drought,Islamabad,Low,2278,8,71,234,Low
Heatwave,Multan,Medium,8682,22,110,214,Medium
Tsunami,Hyderabad,Low,573,2,27,234,Low
Cyclone,Karachi,Medium,4408,11,81,232,Medium
Cyclone,Gujranwala,Critical,38188,76,428,146,Critical
Drought,Karachi,Medium,1362,6,61,220,Medium
Cyclone,Lahore,Low,4114,13,85,241,Low
Drought,Karachi,Critical,30228,64,338,178,Critical
Flood,Faisalabad,Critical,33872,67,344,174,Critical
Tsunami,Lahore,Medium,6000,14,87,205,Medium
Heatwave,Hyderabad,High,2016,4,28,191,High
Drought,Lahore,Low,4142,8,57,222,Low
Drought,Gujranwala,Low,4693,12,76,242,Low
Fire,Rawalpindi,High,5668,12,105,209,High
Heatwave,Multan,Low,3062,10,44,245,Low
Flood,Peshawar,High,5354,11,58,181,High
Fire,Sukkur,High,8558,19,103,182,High
Tsunami,Quetta,Critical,7140,18,109,155,Critical
Earthquake,Quetta,Critical,38008,77,414,173,Critical
Heatwave,Peshawar,Medium,1989,5,45,219,Medium
Earthquake,Karachi,Critical,15368,35,169,161,Critical
Heatwave,Karachi,High,16872,36,180,211,High
Flood,Sialkot,Medium,142,2,10,225,Medium
Fire,Lahore,Low,410,1,49,220,Low
Drought,Karachi,High,602,1,53,181,High
Fire,Sialkot,Medium,4106,12,91,222,Medium
Earthquake,Gujranwala,Critical,3412,9,34,162,Critical
Heatwave,Peshawar,High,15658,32,192,202,High
Landslide,Sialkot,Medium,6063,17,93,240,Medium
Tsunami,Gujranwala,Low,3187,9,38,229,Low
Drought,Lahore,High,5116,12,84,195,High
Earthquake,Sukkur,High,6064,13,60,212,High
Tsunami,Lahore,Medium,679,1,30,217,Medium
Drought,Lahore,Medium,9158,18,132,203,Medium
Tsunami,Sialkot,Critical,27880,60,291,180,Critical
Heatwave,Islamabad,Critical,15112,30,195,156,Critical
Flood,Faisalabad,High,10744,21,127,204,High
Earthquake,Gujranwala,Low,2083,8,46,211,Low
Cyclone,Gujranwala,Critical,27676,60,299,175,Critical
Landslide,Sialkot,Low,2670,8,32,227,Low
Cyclone,Islamabad,Medium,4544,10,54,214,Medium
Earthquake,Lahore,Medium,1376,2,40,209,Medium
Drought,Sukkur,Critical,37856,79,419,161,Critical
Earthquake,Islamabad,High,12416,24,161,205,High
Earthquake,Quetta,Medium,2056,9,36,208,Medium
Heatwave,Quetta,Low,4162,13,57,215,Low
Fire,Rawalpindi,High,1924,3,53,204,High
Landslide,Gujranwala,Critical,12152,26,148,173,Critical
Flood,Lahore,Medium,3756,12,73,239,Medium
Flood,Gujranwala,Critical,34200,69,365,180,Critical
Tsunami,Rawalpindi,High,1704,6,56,194,High
Flood,Quetta,High,13336,28,150,206,High
Landslide,Faisalabad,High,2458,6,67,195,High
Tsunami,Sukkur,Low,3860,10,63,246,Low
Tsunami,Gujranwala,High,9450,18,142,189,High
Drought,Multan,High,10380,20,116,207,High
Fire,Quetta,Medium,5462,11,80,219,Medium
Cyclone,Islamabad,Low,757,1,42,248,Low
Drought,Lahore,Low,4580,11,95,231,Low
Fire,Quetta,Critical,30332,62,338,168,Critical
Fire,Karachi,High,460,5,34,214,High
Fire,Faisalabad,Medium,6144,14,72,208,Medium
Earthquake,Faisalabad,Critical,13548,30,158,153,Critical
Drought,Multan,High,9754,24,132,188,High
Cyclone,Karachi,Low,4668,9,81,247,Low
Heatwave,Quetta,High,10158,20,131,214,High
Fire,Quetta,High,8148,16,97,192,High
Cyclone,Islamabad,Medium,7700,15,96,208,Medium
Heatwave,Rawalpindi,Medium,6133,13,97,219,Medium
Landslide,Lahore,Medium,9794,24,119,233,Medium
Heatwave,Rawalpindi,Critical,32732,70,376,148,Critical
Landslide,Peshawar,Medium,3301,7,78,227,Medium
Flood,Sialkot,Critical,36216,74,387,149,Critical
Heatwave,Faisalabad,High,8232,18,129,216,High
Landslide,Islamabad,Critical,10264,23,110,150,Critical
Fire,Gujranwala,Critical,816,5,50,160,Critical
Earthquake,Rawalpindi,Medium,6818,15,75,204,Medium
Heatwave,Lahore,Medium,491,5,51,235,Medium
Tsunami,Islamabad,Low,1958,3,33,244,Low
Landslide,Hyderabad,Critical,35888,73,386,147,Critical
Drought,Faisalabad,High,11550,25,165,191,High
Landslide,Peshawar,Low,128,1,45,230,Low
Heatwave,Sialkot,Low,2794,5,37,219,Low
Landslide,Gujranwala,Low,61,3,10,211,Low
Cyclone,Lahore,Medium,6264,15,75,220,Medium
Drought,Rawalpindi,Medium,5138,13,83,226,Medium
Heatwave,Sukkur,Medium,1803,5,43,226,Medium
Earthquake,Quetta,High,6922,16,119,199,High
Cyclone,Lahore,Critical,35120,75,372,168,Critical
Drought,Karachi,Low,2001,7,55,250,Low
Tsunami,Lahore,Medium,6978,16,108,217,Medium
Landslide,Lahore,Critical,32644,70,370,149,Critical
Landslide,Sialkot,Low,540,2,48,222,Low
Flood,Sukkur,Critical,9728,19,142,146,Critical
Drought,Quetta,Low,2342,5,26,218,Low
Landslide,Rawalpindi,Critical,6496,17,74,151,Critical
Flood,Karachi,Medium,819,6,32,201,Medium
Flood,Rawalpindi,Critical,15568,31,195,179,Critical
Heatwave,Islamabad,Critical,34460,69,344,179,Critical
Landslide,Gujranwala,Low,3433,6,39,227,Low
Cyclone,Gujranwala,Critical,24808,52,257,178,Critical
Tsunami,Karachi,High,15222,34,182,216,High
Cyclone,Karachi,Low,745,4,45,249,Low
Cyclone,Gujranwala,Critical,38460,80,411,154,Critical
Landslide,Faisalabad,High,3330,11,38,218,High
Fire,Quetta,Low,4190,11,45,224,Low
Earthquake,Islamabad,Medium,2287,5,38,214,Medium
Flood,Sukkur,Low,3280,10,46,211,Low
Landslide,Multan,Low,663,4,29,232,Low
Heatwave,Faisalabad,Critical,39188,80,396,145,Critical
Flood,Sialkot,High,18806,41,226,210,High
Tsunami,Karachi,Low,560,1,10,218,Low
Fire,Hyderabad,Low,3613,12,82,242,Low
Earthquake,Sukkur,Low,1120,7,35,248,Low
Landslide,Rawalpindi,Critical,15916,32,184,170,Critical
Tsunami,Rawalpindi,Low,2439,7,63,233,Low
Drought,Faisalabad,High,8752,20,128,191,High
Fire,Faisalabad,Critical,21044,42,243,164,Critical
Cyclone,Sukkur,Medium,6538,16,83,231,Medium
Fire,Lahore,Medium,5445,13,99,230,Medium
Tsunami,Hyderabad,Critical,21244,42,250,148,Critical
Landslide,Peshawar,High,15034,30,153,190,High
Fire,Karachi,Critical,18220,38,231,152,Critical
Landslide,Faisalabad,Critical,15708,36,168,154,Critical
Heatwave,Sukkur,Critical,5292,12,92,142,Critical
Landslide,Rawalpindi,Critical,13684,27,167,166,Critical
Tsunami,Lahore,Low,1165,7,39,210,Low
Earthquake,Sialkot,Medium,9679,24,96,217,Medium
Heatwave,Hyderabad,High,3770,11,49,206,High
Earthquake,Multan,Low,1323,7,55,224,Low
Fire,Multan,Medium,1831,7,51,212,Medium
Cyclone,Gujranwala,Critical,11172,27,129,153,Critical
Drought,Quetta,Medium,7465,18,86,204,Medium
Tsunami,Faisalabad,Medium,7735,16,79,211,Medium
Earthquake,Karachi,Low,2622,10,76,238,Low
Drought,Gujranwala,Low,3380,8,71,249,Low
Flood,Gujranwala,High,4156,12,73,211,High
Landslide,Lahore,Critical,35520,75,388,160,Critical
Earthquake,Multan,Critical,23880,52,282,169,Critical
Heatwave,Hyderabad,Critical,14004,33,154,155,Critical
Tsunami,Multan,Medium,7504,19,114,227,Medium
Landslide,Lahore,Medium,5151,10,61,225,Medium
Drought,Rawalpindi,Critical,30764,64,350,142,Critical
Tsunami,Quetta,High,8882,22,90,218,High
Earthquake,Gujranwala,Medium,2064,9,43,224,Medium
Cyclone,Peshawar,High,3162,7,46,200,High
Heatwave,Islamabad,Medium,2682,8,67,225,Medium
Flood,Hyderabad,Low,2542,7,25,249,Low
Tsunami,Karachi,Low,4992,14,59,246,Low
Cyclone,Faisalabad,Critical,3040,11,35,178,Critical
Earthquake,Gujranwala,Low,1811,8,35,244,Low
Heatwave,Peshawar,Medium,5470,13,103,233,Medium
Landslide,Quetta,Medium,2530,6,50,202,Medium
Drought,Sukkur,Low,797,5,29,243,Low
Earthquake,Faisalabad,Low,2083,8,62,216,Low
Fire,Lahore,Low,2964,5,54,238,Low
Flood,Gujranwala,Critical,26368,52,288,169,Critical
Flood,Sukkur,Low,4256,13,79,212,Low
Landslide,Multan,Medium,902,2,21,215,Medium
Heatwave,Rawalpindi,Low,2498,8,57,243,Low
Earthquake,Lahore,Critical,17448,37,174,174,Critical
Earthquake,Gujranwala,Critical,11792,26,164,165,Critical
Cyclone,Rawalpindi,Medium,609,2,51,202,Medium
Fire,Sukkur,Medium,6725,13,71,235,Medium
Drought,Peshawar,Low,3754,10,42,234,Low
Heatwave,Islamabad,Medium,9208,20,127,233,Medium
Tsunami,Karachi,High,18226,37,200,220,High
Drought,Peshawar,Medium,4193,10,87,203,Medium
Fire,Karachi,High,3302,8,68,192,High
Drought,Sukkur,High,15340,30,190,198,High
Earthquake,Sialkot,Medium,1769,7,39,228,Medium
Heatwave,Peshawar,High,4780,10,69,205,High
Drought,Rawalpindi,Medium,2089,8,37,219,Medium
Landslide,Faisalabad,Medium,295,5,16,218,Medium
Flood,Lahore,Critical,4440,11,82,169,Critical
Tsunami,Hyderabad,High,7482,17,86,190,High
Cyclone,Gujranwala,High,4482,9,73,207,High
Heatwave,Quetta,Low,1673,3,41,228,Low
Heatwave,Rawalpindi,Medium,6663,16,102,239,Medium
Cyclone,Hyderabad,Critical,24792,52,247,143,Critical
Tsunami,Rawalpindi,Critical,5904,15,75,173,Critical
Earthquake,Karachi,Low,4820,12,59,219,Low
Tsunami,Karachi,High,19404,38,220,209,High
Tsunami,Multan,Critical,17360,37,205,168,Critical
Flood,Karachi,High,2656,8,32,185,High
Drought,Multan,Critical,1828,5,53,172,Critical
Landslide,Sukkur,Critical,4624,9,50,147,Critical
Cyclone,Karachi,Medium,3339,9,65,211,Medium
Earthquake,Faisalabad,High,14730,34,165,217,High
Heatwave,Lahore,Critical,8840,22,109,174,Critical
